## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIF32-0.1.1.2,"AIF32-0.1.1.2",false,"0.0",,,,,,,,false,false,"0.0",false,"AIF32-0.1.1.2","AIF32",,false
AIF32-0.1.1.3,"AIF32-0.1.1.3",false,"0.0",,,,,,,,false,false,"0.0",false,"AIF32-0.1.1.3","AIF32",,false
AIF32-0.1.1.4,"AIF32-0.1.1.4",false,"0.0",,,,,,,,false,false,"0.0",false,"AIF32-0.1.1.4","AIF32",,false
AIF32-0.1.1.1,"AIF32_substrate_temp",false,"0.0",300001,300002,,,,,,false,false,"0.0",false,"AIF32-0.1.1.1","AIF32",,false
AIS32-0.1.5.5,"AIS32-0.1.5.5",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.5","AIS32",,false
AIS32-0.1.5.6,"AIS32-0.1.5.6",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.6","AIS32",,false
AIS32-0.1.5.7,"AIS32-0.1.5.7",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.7","AIS32",,false
AIS32-0.1.5.8,"AIS32-0.1.5.8",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.8","AIS32",,false
AIS32-0.1.7.1,"AIS32_BNC1_Baritron_gauge",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.7.1","AIS32",,false
AIS32-0.1.7.2,"AIS32_BNC2_I",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.7.2","AIS32",,false
AIS32-0.1.7.3,"AIS32_BNC3_I",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.7.3","AIS32",,false
AIS32-0.1.7.4,"AIS32_BNC4_I",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.7.4","AIS32",,false
S32-000214,"ALD1_timeout_reached",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
AOS32-0.1.6.5,"AOS32-0.1.6.5",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.5","AOS32",,false
AOS32-0.1.6.6,"AOS32-0.1.6.6",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.6","AOS32",,false
AOS32-0.1.6.7,"AOS32-0.1.6.7",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.7","AOS32",,false
AOS32-0.1.6.8,"AOS32-0.1.6.8",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.8","AOS32",,false
AOS32-0.1.7.1,"AOS32-0.1.7.1",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.7.1","AOS32",,false
AOS32-0.1.7.2,"AOS32-0.1.7.2",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.7.2","AOS32",,false
SBR-001002,"Always Off Bit",false,"0",,,,,,,"always off",,,,false,,"SBR",,false
